Order_ID,Shipment_Date,Delivery_Date,Origin_State,Destination_State,Route,Distance_km,Truck_Type,Weight_kg,Freight_Cost_INR,Fuel_Cost_INR,Cost_per_km,Expected_Delivery_Days,Actual_Delivery_Days,Delivery_Time_Days,Delay_Flag,Load_Utilization_%,Driver_Experience_Yrs,Weather_Condition,Road_Condition,Month,Month_Name,Year
IND10018,2023-09-01,2023-09-04,Rajasthan,Maharashtra,Delhi-Mumbai,1400,Medium Truck,5486,106935.71,17815.05,76.38,3,3,3,0,80,1,Clear,Average,9,Sep,2023
IND10019,2022-08-06,2022-08-09,Telangana,West Bengal,Delhi-Kolkata,1472,Medium Truck,9886,73740.96,17716.62,50.1,3,3,3,0,69,10,Fog,Average,8,Aug,2022
IND10020,2020-06-27,2020-07-04,Kerala,Maharashtra,Delhi-Mumbai,1400,Heavy Truck,36219,113766.73,12892.76,81.26,3,7,7,1,76,11,Fog,Average,6,Jun,2020
IND10021,2021-03-02,2021-03-04,Tamil Nadu,Maharashtra,Ahmedabad-Mumbai,524,Medium Truck,14937,36350.09,4434.11,69.37,2,2,2,0,79,15,Fog,Good,3,Mar,2021
IND10022,2022-06-16,2022-06-19,West Bengal,Tamil Nadu,Mumbai-Chennai,1338,Medium Truck,3794,76673.1,18188.79,57.3,3,3,3,0,55,3,Clear,Average,6,Jun,2022
IND10023,2022-06-05,2022-06-12,Odisha,Maharashtra,Ahmedabad-Mumbai,524,Heavy Truck,29598,28956.82,4769.53,55.26,2,7,7,1,80,15,Clear,Average,6,Jun,2022
IND10024,2024-12-16,2024-12-17,Haryana,Maharashtra,Surat-Mumbai,284,Heavy Truck,21786,21109.46,2642.78,74.33,1,1,1,0,75,11,Clear,Average,12,Dec,2024
IND10025,2023-05-07,2023-05-09,Odisha,Telangana,Bangalore-Hyderabad,575,Heavy Truck,19014,53493.98,8538.2,93.03,2,2,2,0,95,9,Fog,Average,5,May,2023
IND10026,2020-05-10,2020-05-13,Karnataka,Tamil Nadu,Mumbai-Chennai,1338,Light Van,757,145342.06,17421.87,108.63,3,3,3,0,78,2,Clear,Good,5,May,2020
IND10027,2020-03-04,2020-03-07,Delhi,Telangana,Bangalore-Hyderabad,575,Medium Truck,8353,36138.42,5608.21,62.85,2,3,3,1,93,12,Clear,Good,3,Mar,2020
IND10028,2023-02-10,2023-02-11,Telangana,Karnataka,Chennai-Bangalore,346,Heavy Truck,18407,27584.88,4199.28,79.73,1,1,1,0,70,16,Clear,Average,2,Feb,2023
IND10029,2021-06-20,2021-06-21,Kerala,Punjab,Delhi-Amritsar,446,Medium Truck,13648,34536.87,5235.5,77.44,1,1,1,0,86,16,Clear,Poor,6,Jun,2021
IND10030,2023-11-14,2023-11-15,Rajasthan,Punjab,Delhi-Amritsar,446,Medium Truck,13043,38328.16,6204.45,85.94,1,1,1,0,70,1,Fog,Good,11,Nov,2023
IND10031,2023-03-24,2023-03-25,Madhya Pradesh,Odisha,Kolkata-Bhubaneswar,441,Light Van,1474,47041.96,5779.41,106.67,1,1,1,0,67,16,Rain,Average,3,Mar,2023
IND10032,2021-09-24,2021-09-25,West Bengal,Maharashtra,Mumbai-Pune,149,Heavy Truck,35621,13224.52,2059.49,88.76,1,1,1,0,96,6,Rain,Average,9,Sep,2021
IND10033,2022-03-07,2022-03-09,Madhya Pradesh,Maharashtra,Nagpur-Mumbai,856,Heavy Truck,31053,93531.56,8115.35,109.27,2,2,2,0,86,14,Clear,Average,3,Mar,2022
IND10034,2023-04-20,2023-04-21,Punjab,Punjab,Delhi-Amritsar,446,Light Van,1401,38489.19,5566.76,86.3,1,1,1,0,95,11,Fog,Average,4,Apr,2023
IND10035,2023-10-18,2023-10-19,Telangana,Rajasthan,Delhi-Jaipur,281,Heavy Truck,26213,25927.68,2327.15,92.27,1,1,1,0,98,1,Clear,Good,10,Oct,2023
IND10036,2022-03-07,2022-03-10,Maharashtra,West Bengal,Delhi-Kolkata,1472,Heavy Truck,22248,118667.97,12486.36,80.62,3,3,3,0,78,17,Rain,Average,3,Mar,2022
IND10037,2021-08-15,2021-08-18,Odisha,West Bengal,Delhi-Kolkata,1472,Light Van,773,158411.77,19128.18,107.62,3,3,3,0,67,19,Clear,Average,8,Aug,2021
IND10038,2020-08-13,2020-08-14,Maharashtra,Karnataka,Chennai-Bangalore,346,Medium Truck,11050,39675.09,2827.15,114.67,1,1,1,0,65,2,Clear,Average,8,Aug,2020
IND10039,2022-01-09,2022-01-10,Madhya Pradesh,Odisha,Kolkata-Bhubaneswar,441,Heavy Truck,31848,41780.4,5317.73,94.74,1,1,1,0,69,14,Clear,Average,1,Jan,2022
IND10040,2023-02-14,2023-02-15,Gujarat,Karnataka,Chennai-Bangalore,346,Heavy Truck,36711,37179.35,4803.46,107.45,1,1,1,0,64,8,Clear,Good,2,Feb,2023
IND10041,2024-02-26,2024-02-28,Telangana,Maharashtra,Hyderabad-Pune,559,Heavy Truck,20415,30258.8,5958.71,54.13,2,2,2,0,96,6,Rain,Poor,2,Feb,2024
IND10042,2023-04-24,2023-04-26,Uttar Pradesh,West Bengal,Chennai-Kolkata,1659,Heavy Truck,30398,188176.76,13792.73,113.43,3,2,2,0,95,9,Clear,Average,4,Apr,2023
IND10043,2020-02-08,2020-02-10,Uttar Pradesh,Telangana,Bangalore-Hyderabad,575,Light Van,787,36354.23,7473.24,63.22,2,2,2,0,57,5,Clear,Average,2,Feb,2020
IND10044,2021-01-31,2021-02-01,Delhi,Rajasthan,Delhi-Jaipur,281,Medium Truck,6195,19095.76,4076.69,67.96,1,1,1,0,70,5,Fog,Poor,1,Jan,2021
IND10045,2020-10-08,2020-10-09,Karnataka,Rajasthan,Delhi-Jaipur,281,Medium Truck,12067,15099.0,3658.68,53.73,1,1,1,0,98,18,Clear,Poor,10,Oct,2020
IND10046,2022-06-01,2022-06-02,Tamil Nadu,Maharashtra,Surat-Mumbai,284,Light Van,2492,33392.15,3421.95,117.58,1,1,1,0,71,14,Clear,Average,6,Jun,2022
IND10047,2023-03-31,2023-04-02,Delhi,Maharashtra,Ahmedabad-Mumbai,524,Medium Truck,10450,57451.76,5035.75,109.64,2,2,2,0,79,12,Clear,Average,3,Mar,2023
IND10048,2024-12-20,2024-12-27,Punjab,Maharashtra,Ahmedabad-Mumbai,524,Heavy Truck,17925,59695.61,4248.4,113.92,2,7,7,1,84,12,Fog,Average,12,Dec,2024
IND10049,2022-11-27,2022-11-30,Telangana,West Bengal,Chennai-Kolkata,1659,Medium Truck,4120,181337.21,21339.23,109.31,3,3,3,0,89,6,Clear,Good,11,Nov,2022
IND10050,2024-07-28,2024-07-29,Gujarat,Maharashtra,Surat-Mumbai,284,Light Van,1714,23733.07,2731.28,83.57,1,1,1,0,91,4,Storm,Good,7,Jul,2024
IND10051,2024-11-29,2024-11-30,Odisha,Karnataka,Chennai-Bangalore,346,Light Van,946,39681.26,4846.47,114.69,1,1,1,0,67,15,Clear,Average,11,Nov,2024
IND10052,2023-12-22,2023-12-23,Uttar Pradesh,Maharashtra,Surat-Mumbai,284,Heavy Truck,26760,33473.12,3199.13,117.86,1,1,1,0,78,15,Clear,Average,12,Dec,2023
IND10053,2021-02-16,2021-02-17,Madhya Pradesh,Maharashtra,Hyderabad-Pune,559,Medium Truck,9627,47615.45,6548.38,85.18,2,1,1,0,92,17,Clear,Good,2,Feb,2021
IND10054,2024-09-23,2024-09-24,Telangana,Odisha,Kolkata-Bhubaneswar,441,Medium Truck,5896,27471.54,5855.4,62.29,1,1,1,0,80,3,Rain,Poor,9,Sep,2024
IND10055,2023-03-13,2023-03-16,Gujarat,Maharashtra,Delhi-Mumbai,1400,Light Van,1221,134545.01,18838.42,96.1,3,3,3,0,63,10,Clear,Average,3,Mar,2023
IND10056,2023-03-21,2023-03-23,Kerala,Maharashtra,Ahmedabad-Mumbai,524,Heavy Truck,33547,61979.08,6549.24,118.28,2,2,2,0,73,8,Rain,Average,3,Mar,2023
IND10057,2020-05-24,2020-05-26,Rajasthan,Maharashtra,Hyderabad-Pune,559,Medium Truck,13774,62077.11,8144.08,111.05,2,2,2,0,82,9,Clear,Good,5,May,2020
IND10058,2023-01-22,2023-01-23,Tamil Nadu,Maharashtra,Mumbai-Pune,149,Light Van,1851,16438.73,2216.54,110.33,1,1,1,0,61,3,Clear,Good,1,Jan,2023
IND10059,2023-03-23,2023-03-27,Haryana,Maharashtra,Surat-Mumbai,284,Medium Truck,6980,32764.3,4154.41,115.37,1,4,4,1,99,1,Fog,Poor,3,Mar,2023
IND10060,2020-10-16,2020-10-19,West Bengal,West Bengal,Delhi-Kolkata,1472,Medium Truck,7502,165712.84,20268.34,112.58,3,3,3,0,76,11,Rain,Good,10,Oct,2020
IND10061,2024-01-24,2024-01-27,Maharashtra,West Bengal,Delhi-Kolkata,1472,Heavy Truck,26576,153588.06,19046.76,104.34,3,3,3,0,84,13,Clear,Average,1,Jan,2024
IND10062,2021-12-17,2021-12-19,Maharashtra,Maharashtra,Hyderabad-Pune,559,Heavy Truck,33109,56056.02,7067.59,100.28,2,2,2,0,91,12,Rain,Average,12,Dec,2021
IND10063,2023-02-28,2023-03-07,Gujarat,West Bengal,Chennai-Kolkata,1659,Heavy Truck,18413,113697.41,14476.85,68.53,3,7,7,1,70,7,Rain,Average,2,Feb,2023
IND10064,2021-11-06,2021-11-07,Punjab,Odisha,Kolkata-Bhubaneswar,441,Light Van,994,41230.77,4366.07,93.49,1,1,1,0,90,2,Clear,Average,11,Nov,2021
IND10065,2022-06-27,2022-06-30,Telangana,Punjab,Delhi-Amritsar,446,Heavy Truck,15947,38580.87,3585.76,86.5,1,3,3,1,59,1,Clear,Good,6,Jun,2022
IND10066,2021-10-09,2021-10-11,Delhi,Delhi,Lucknow-Delhi,555,Medium Truck,3022,61236.53,4973.84,110.34,2,2,2,0,83,3,Clear,Good,10,Oct,2021
IND10067,2021-01-15,2021-01-16,Madhya Pradesh,Rajasthan,Delhi-Jaipur,281,Medium Truck,4128,23721.99,3111.96,84.42,1,1,1,0,77,4,Clear,Average,1,Jan,2021
IND10068,2022-05-04,2022-05-07,Kerala,West Bengal,Chennai-Kolkata,1659,Heavy Truck,28986,97784.77,14973.73,58.94,3,3,3,0,60,17,Rain,Average,5,May,2022
IND10069,2022-02-05,2022-02-07,Karnataka,Maharashtra,Hyderabad-Pune,559,Medium Truck,3557,28144.57,8000.21,50.35,2,2,2,0,90,18,Clear,Good,2,Feb,2022
IND10070,2023-04-18,2023-04-19,West Bengal,Odisha,Kolkata-Bhubaneswar,441,Medium Truck,12808,42975.94,6015.19,97.45,1,1,1,0,87,17,Clear,Good,4,Apr,2023
IND10071,2020-02-10,2020-02-11,Gujarat,Odisha,Kolkata-Bhubaneswar,441,Light Van,1440,39025.67,3749.07,88.49,1,1,1,0,95,19,Clear,Good,2,Feb,2020
IND10072,2021-07-25,2021-07-27,Karnataka,Telangana,Bangalore-Hyderabad,575,Medium Truck,6730,42071.26,5601.88,73.17,2,2,2,0,70,4,Storm,Average,7,Jul,2021
IND10073,2022-09-09,2022-09-12,Rajasthan,Tamil Nadu,Mumbai-Chennai,1338,Medium Truck,8341,82725.93,18375.43,61.83,3,3,3,0,88,17,Rain,Good,9,Sep,2022
IND10074,2021-03-06,2021-03-09,Rajasthan,West Bengal,Delhi-Kolkata,1472,Heavy Truck,21998,121690.35,20050.59,82.67,3,3,3,0,97,2,Clear,Good,3,Mar,2021
IND10075,2023-01-12,2023-01-17,Haryana,Maharashtra,Hyderabad-Pune,559,Light Van,2156,31874.21,8171.55,57.02,2,5,5,1,80,10,Clear,Average,1,Jan,2023
IND10076,2022-06-30,2022-07-02,Gujarat,Maharashtra,Nagpur-Mumbai,856,Heavy Truck,35557,62939.62,12825.31,73.53,2,2,2,0,91,12,Clear,Good,6,Jun,2022
IND10077,2022-12-20,2022-12-22,Gujarat,Punjab,Delhi-Amritsar,446,Light Van,1845,34139.0,6615.92,76.54,1,2,2,1,67,13,Rain,Average,12,Dec,2022
IND10078,2020-09-29,2020-09-30,Rajasthan,Maharashtra,Surat-Mumbai,284,Heavy Truck,23998,23456.5,3087.35,82.59,1,1,1,0,71,11,Clear,Good,9,Sep,2020
IND10079,2024-06-27,2024-07-02,Delhi,Rajasthan,Delhi-Jaipur,281,Light Van,1541,23228.43,2740.4,82.66,1,5,5,1,86,8,Storm,Poor,6,Jun,2024
IND10080,2020-02-25,2020-02-26,Rajasthan,Maharashtra,Surat-Mumbai,284,Medium Truck,11645,19309.27,3779.72,67.99,1,1,1,0,86,5,Clear,Good,2,Feb,2020
IND10081,2021-11-27,2021-11-30,Delhi,Tamil Nadu,Mumbai-Chennai,1338,Light Van,2824,146530.76,13506.99,109.51,3,3,3,0,82,2,Clear,Good,11,Nov,2021
IND10082,2024-11-30,2024-12-01,Karnataka,Maharashtra,Mumbai-Pune,149,Heavy Truck,24639,11158.32,2033.08,74.89,1,1,1,0,83,12,Rain,Poor,11,Nov,2024
IND10083,2024-04-08,2024-04-10,Delhi,Maharashtra,Ahmedabad-Mumbai,524,Medium Truck,8595,34621.26,6150.55,66.07,2,2,2,0,79,2,Fog,Good,4,Apr,2024
IND10084,2024-12-26,2024-12-28,Maharashtra,Maharashtra,Nagpur-Mumbai,856,Medium Truck,13753,53334.53,11605.21,62.31,2,2,2,0,76,6,Clear,Average,12,Dec,2024
IND10085,2022-08-24,2022-08-26,Bihar,Telangana,Bangalore-Hyderabad,575,Light Van,2388,41733.78,5710.42,72.58,2,2,2,0,81,19,Rain,Good,8,Aug,2022
IND10086,2024-03-12,2024-03-17,Maharashtra,Maharashtra,Ahmedabad-Mumbai,524,Heavy Truck,33895,28677.84,6055.44,54.73,2,5,5,1,98,12,Clear,Good,3,Mar,2024
IND10087,2024-11-02,2024-11-10,Telangana,Tamil Nadu,Mumbai-Chennai,1338,Light Van,862,69982.12,15986.65,52.3,3,8,8,1,92,13,Clear,Average,11,Nov,2024
IND10088,2023-04-29,2023-05-03,Odisha,Tamil Nadu,Mumbai-Chennai,1338,Light Van,1024,123577.62,19537.15,92.36,3,4,4,1,74,17,Fog,Poor,4,Apr,2023
IND10089,2020-07-24,2020-07-30,Tamil Nadu,Maharashtra,Ahmedabad-Mumbai,524,Heavy Truck,18255,48910.32,5169.88,93.34,2,6,6,1,99,12,Fog,Good,7,Jul,2020
IND10090,2024-07-11,2024-07-12,Gujarat,Karnataka,Chennai-Bangalore,346,Light Van,1717,30126.63,5036.66,87.07,1,1,1,0,78,3,Rain,Average,7,Jul,2024
IND10091,2022-08-28,2022-09-01,Punjab,Rajasthan,Delhi-Jaipur,281,Medium Truck,4485,29044.15,3831.16,103.36,1,4,4,1,62,8,Clear,Average,8,Aug,2022
IND10092,2021-06-15,2021-06-17,Haryana,Rajasthan,Delhi-Jaipur,281,Medium Truck,13295,14820.09,3685.67,52.74,1,2,2,1,68,16,Fog,Good,6,Jun,2021
IND10093,2022-01-03,2022-01-06,Kerala,Maharashtra,Delhi-Mumbai,1400,Heavy Truck,20349,161725.36,18911.33,115.52,3,3,3,0,93,4,Clear,Average,1,Jan,2022
IND10094,2022-05-25,2022-05-26,Uttar Pradesh,Maharashtra,Surat-Mumbai,284,Medium Truck,13728,16089.89,3475.58,56.65,1,1,1,0,68,13,Clear,Good,5,May,2022
IND10095,2021-08-24,2021-08-26,Kerala,Punjab,Delhi-Amritsar,446,Medium Truck,10195,43343.0,4330.02,97.18,1,2,2,1,59,8,Rain,Good,8,Aug,2021
IND10096,2021-05-14,2021-05-15,Delhi,Maharashtra,Mumbai-Pune,149,Medium Truck,13047,8841.33,1389.64,59.34,1,1,1,0,75,1,Clear,Good,5,May,2021
IND10097,2024-08-22,2024-08-23,Bihar,Maharashtra,Surat-Mumbai,284,Medium Truck,10750,31692.52,3994.29,111.59,1,1,1,0,69,3,Storm,Poor,8,Aug,2024
IND10098,2022-03-08,2022-03-09,Madhya Pradesh,Rajasthan,Delhi-Jaipur,281,Medium Truck,9079,24095.73,3674.35,85.75,1,1,1,0,90,1,Clear,Good,3,Mar,2022
IND10099,2022-10-05,2022-10-06,Punjab,Punjab,Delhi-Amritsar,446,Medium Truck,12399,24869.2,4233.62,55.76,1,1,1,0,87,15,Clear,Average,10,Oct,2022
IND10100,2024-11-12,2024-11-17,Telangana,Delhi,Lucknow-Delhi,555,Heavy Truck,28686,51709.73,6829.64,93.17,2,5,5,1,71,18,Rain,Good,11,Nov,2024
IND10101,2024-05-15,2024-05-16,Bihar,Maharashtra,Mumbai-Pune,149,Light Van,2588,7545.02,1658.79,50.64,1,1,1,0,74,3,Rain,Good,5,May,2024
IND10102,2023-11-08,2023-11-09,Tamil Nadu,Maharashtra,Mumbai-Pune,149,Medium Truck,4507,15543.91,1357.48,104.32,1,1,1,0,55,15,Clear,Average,11,Nov,2023
IND10103,2024-09-25,2024-09-28,Punjab,Tamil Nadu,Mumbai-Chennai,1338,Heavy Truck,32387,127833.79,15685.37,95.54,3,3,3,0,70,5,Clear,Average,9,Sep,2024
IND10104,2023-03-11,2023-03-12,Punjab,Maharashtra,Mumbai-Pune,149,Heavy Truck,37787,9667.68,1485.62,64.88,1,1,1,0,99,10,Rain,Good,3,Mar,2023
IND10105,2024-03-18,2024-03-20,Odisha,Telangana,Bangalore-Hyderabad,575,Medium Truck,3925,43833.72,4987.38,76.23,2,2,2,0,72,7,Clear,Good,3,Mar,2024
IND10106,2023-10-16,2023-10-18,Odisha,Maharashtra,Ahmedabad-Mumbai,524,Light Van,1355,26486.35,5904.8,50.55,2,2,2,0,64,8,Clear,Poor,10,Oct,2023
IND10107,2020-10-27,2020-11-03,Maharashtra,Maharashtra,Nagpur-Mumbai,856,Medium Truck,11275,84365.53,10383.93,98.56,2,7,7,1,77,3,Rain,Good,10,Oct,2020
IND10108,2023-07-08,2023-07-09,West Bengal,Karnataka,Chennai-Bangalore,346,Medium Truck,9583,25115.02,2881.61,72.59,1,1,1,0,72,18,Clear,Average,7,Jul,2023
IND10109,2023-02-22,2023-02-25,Tamil Nadu,Maharashtra,Delhi-Mumbai,1400,Heavy Truck,18927,126015.71,15140.51,90.01,3,3,3,0,63,17,Storm,Average,2,Feb,2023
IND10110,2024-08-19,2024-08-21,Uttar Pradesh,Maharashtra,Surat-Mumbai,284,Medium Truck,12734,33219.75,2784.23,116.97,1,2,2,1,84,16,Rain,Average,8,Aug,2024
IND10111,2024-07-06,2024-07-08,Karnataka,Maharashtra,Hyderabad-Pune,559,Light Van,1485,39668.13,4591.94,70.96,2,2,2,0,67,13,Storm,Poor,7,Jul,2024
IND10112,2024-03-28,2024-03-31,Madhya Pradesh,West Bengal,Chennai-Kolkata,1659,Light Van,2368,197946.33,14731.32,119.32,3,3,3,0,85,4,Clear,Average,3,Mar,2024
IND10113,2022-12-16,2022-12-19,Bihar,Maharashtra,Delhi-Mumbai,1400,Heavy Truck,30797,132007.38,12562.53,94.29,3,3,3,0,97,3,Storm,Good,12,Dec,2022
IND10114,2022-08-31,2022-09-02,Telangana,Telangana,Bangalore-Hyderabad,575,Medium Truck,7231,38494.07,5336.07,66.95,2,2,2,0,67,11,Clear,Good,8,Aug,2022
IND10115,2021-01-31,2021-02-03,Kerala,Maharashtra,Delhi-Mumbai,1400,Heavy Truck,20302,112804.23,19073.1,80.57,3,3,3,0,86,2,Clear,Good,1,Jan,2021
IND10116,2022-07-27,2022-08-01,Odisha,Maharashtra,Mumbai-Pune,149,Medium Truck,8291,15172.93,1650.39,101.83,1,5,5,1,71,18,Clear,Good,7,Jul,2022
IND10117,2023-03-24,2023-03-27,Gujarat,Tamil Nadu,Mumbai-Chennai,1338,Light Van,1408,108717.12,12081.61,81.25,3,3,3,0,57,4,Clear,Poor,3,Mar,2023
IND10118,2021-09-05,2021-09-07,Gujarat,Maharashtra,Nagpur-Mumbai,856,Light Van,1089,46904.97,7448.98,54.8,2,2,2,0,55,17,Clear,Good,9,Sep,2021
IND10119,2023-03-14,2023-03-16,Karnataka,West Bengal,Chennai-Kolkata,1659,Heavy Truck,29239,102529.94,16731.98,61.8,3,2,2,0,59,6,Clear,Average,3,Mar,2023
IND10120,2020-10-17,2020-10-18,Madhya Pradesh,Rajasthan,Delhi-Jaipur,281,Light Van,1455,29614.83,3817.7,105.39,1,1,1,0,86,10,Clear,Average,10,Oct,2020
IND10121,2023-05-25,2023-05-28,Telangana,Tamil Nadu,Mumbai-Chennai,1338,Medium Truck,13929,127626.62,14117.53,95.39,3,3,3,0,79,11,Clear,Average,5,May,2023
IND10122,2024-11-15,2024-11-16,Karnataka,Maharashtra,Mumbai-Pune,149,Medium Truck,5586,13393.28,1358.77,89.89,1,1,1,0,99,5,Rain,Average,11,Nov,2024
IND10123,2022-06-28,2022-06-29,Delhi,Maharashtra,Mumbai-Pune,149,Medium Truck,12335,9198.3,1613.49,61.73,1,1,1,0,59,18,Clear,Average,6,Jun,2022
IND10124,2021-06-11,2021-06-16,Madhya Pradesh,West Bengal,Chennai-Kolkata,1659,Medium Truck,4331,180238.77,19720.83,108.64,3,5,5,1,91,10,Rain,Good,6,Jun,2021
IND10125,2020-10-30,2020-11-03,Odisha,West Bengal,Chennai-Kolkata,1659,Medium Truck,9851,194520.75,13615.56,117.25,3,4,4,1,77,9,Clear,Average,10,Oct,2020
IND10126,2023-08-03,2023-08-05,Telangana,Delhi,Lucknow-Delhi,555,Medium Truck,14540,29338.46,6878.39,52.86,2,2,2,0,66,16,Fog,Good,8,Aug,2023
IND10127,2021-07-17,2021-07-20,Bihar,West Bengal,Delhi-Kolkata,1472,Medium Truck,12745,81640.4,15847.12,55.46,3,3,3,0,88,10,Clear,Poor,7,Jul,2021
IND10128,2024-10-04,2024-10-06,Bihar,Maharashtra,Nagpur-Mumbai,856,Heavy Truck,25534,95812.69,6906.28,111.93,2,2,2,0,77,10,Storm,Good,10,Oct,2024
IND10129,2024-07-11,2024-07-12,Telangana,Odisha,Kolkata-Bhubaneswar,441,Light Van,2306,47226.1,5608.3,107.09,1,1,1,0,70,4,Clear,Good,7,Jul,2024
IND10130,2022-03-01,2022-03-03,Punjab,Maharashtra,Nagpur-Mumbai,856,Medium Truck,13292,79826.63,11116.63,93.26,2,2,2,0,59,14,Storm,Good,3,Mar,2022
IND10131,2022-10-31,2022-11-01,Bihar,Odisha,Kolkata-Bhubaneswar,441,Heavy Truck,32189,51221.08,5469.23,116.15,1,1,1,0,98,8,Clear,Average,10,Oct,2022
IND10132,2023-01-22,2023-01-23,Odisha,Punjab,Delhi-Amritsar,446,Light Van,1955,42481.56,4635.51,95.25,1,1,1,0,82,1,Rain,Average,1,Jan,2023
IND10133,2021-09-23,2021-09-24,Tamil Nadu,Karnataka,Chennai-Bangalore,346,Light Van,551,22531.16,4050.7,65.12,1,1,1,0,60,16,Fog,Good,9,Sep,2021
IND10134,2020-06-20,2020-06-23,Tamil Nadu,Tamil Nadu,Mumbai-Chennai,1338,Light Van,571,135144.64,14330.12,101.0,3,3,3,0,67,17,Clear,Good,6,Jun,2020
IND10135,2023-10-07,2023-10-08,Odisha,Rajasthan,Delhi-Jaipur,281,Medium Truck,3027,26751.12,3626.12,95.2,1,1,1,0,97,10,Clear,Good,10,Oct,2023
IND10136,2023-09-09,2023-09-12,Madhya Pradesh,Maharashtra,Delhi-Mumbai,1400,Heavy Truck,23660,166602.98,16919.09,119.0,3,3,3,0,84,6,Fog,Good,9,Sep,2023
IND10137,2024-04-26,2024-04-27,Punjab,Maharashtra,Mumbai-Pune,149,Medium Truck,6983,9680.93,1277.32,64.97,1,1,1,0,80,7,Clear,Average,4,Apr,2024
IND10138,2022-08-02,2022-08-03,Kerala,Maharashtra,Mumbai-Pune,149,Heavy Truck,22055,13685.94,1862.75,91.85,1,1,1,0,71,18,Clear,Good,8,Aug,2022
IND10139,2024-12-26,2024-12-29,Odisha,West Bengal,Delhi-Kolkata,1472,Light Van,1924,153988.46,18857.3,104.61,3,3,3,0,63,2,Rain,Average,12,Dec,2024
